"Repository","Filename","Filetype","Lines"
"vsr-offline-core","main_test.cpp","cpp",26
"vsr-offline-core","libvsr-core-tests.gyp","gyp",58
"vsr-offline-core","README.md","md",3
"vsr-offline-core","libvsr-core-target-objc.gypi","gypi",91
"vsr-offline-core","Makefile","Makefile",110
"vsr-offline-core","data_manager.h","h",97
"vsr-offline-core","auth_api.h","h",28
"vsr-offline-core","search_api.h","h",28
"vsr-offline-core","user_api.cpp","cpp",62
"vsr-offline-core","vsr_api_handler_class.cpp","cpp",19
"vsr-offline-core","vsr_api_handler_class.h","h",24
"vsr-offline-core","search_api.cpp","cpp",78
"vsr-offline-core","books_api.cpp","cpp",382
"vsr-offline-core","books_api.h","h",43
"vsr-offline-core","auth_api.cpp","cpp",121
"vsr-offline-core","user_api.h","h",29
"vsr-offline-core","vsr_service_manager.cpp","cpp",97
"vsr-offline-core","book_download_manager.cpp","cpp",333
"vsr-offline-core","book_download_manager.h","h",76
"vsr-offline-core","book_manager.cpp","cpp",66
"vsr-offline-core","book_downloader.h","h",176
"vsr-offline-core","book_manager.h","h",50
"vsr-offline-core","book_downloader.cpp","cpp",446
"vsr-offline-core","book_position_action.h","h",47
"vsr-offline-core","book_highlight_action.h","h",49
"vsr-offline-core","book_bookmark_action.h","h",49
"vsr-offline-core","book_archive_action.h","h",44
"vsr-offline-core","book_bookmark_action.cpp","cpp",45
"vsr-offline-core","book_open_action.h","h",45
"vsr-offline-core","book_open_payload.cpp","cpp",143
"vsr-offline-core","book_position_payload.h","h",52
"vsr-offline-core","book_bookmark_payload.cpp","cpp",88
"vsr-offline-core","book_archive_payload.cpp","cpp",146
"vsr-offline-core","book_open_payload.h","h",56
"vsr-offline-core","book_bookmark_payload.h","h",48
"vsr-offline-core","book_archive_payload.h","h",55
"vsr-offline-core","book_highlight_payload.cpp","cpp",93
"vsr-offline-core","book_position_payload.cpp","cpp",140
"vsr-offline-core","book_highlight_payload.h","h",51
"vsr-offline-core","book_position_action.cpp","cpp",41
"vsr-offline-core","actions.h","h",33
"vsr-offline-core","vsr_actions_builder.cpp","cpp",84
"vsr-offline-core","book_open_action.cpp","cpp",46
"vsr-offline-core","vsr_actions_builder.h","h",31
"vsr-offline-core","book_archive_action.cpp","cpp",47
"vsr-offline-core","book_highlight_action.cpp","cpp",53
"vsr-offline-core","device_activation_dao.cpp","cpp",59
"vsr-offline-core","device_activation_dao.h","h",45
"vsr-offline-core","device_activation.h","h",74
"vsr-offline-core","device_activation.cpp","cpp",94
"vsr-offline-core","book_state_provider.h","h",40
